,Species,Country.of.Origin,Aroma,Flavor,Aftertaste,Acidity,Sweetness
49,Arabica,Kenya,7.92,8.17,7.83,8.5,10
50,Arabica,Uganda,8.25,8,7.83,8.08,10
51,Arabica,Ethiopia,7.75,8.08,8,8.25,10
52,Arabica,United States (Hawaii),8.33,8.17,7.75,8,10
53,Arabica,Guatemala,7.92,8.08,7.92,8.08,10
54,Arabica,Uganda,8.17,8.17,7.92,8.08,10
55,Arabica,Colombia,8,8,8,8.17,10
56,Arabica,Panama,8,8,7.92,8.08,10
57,Arabica,Ethiopia,7.83,8.08,7.92,8.08,10
58,Arabica,Guatemala,7.83,8,8,8.17,10
59,Arabica,Guatemala,8,8,7.83,8.33,10
60,Arabica,Ethiopia,7.83,8,7.83,8.17,10
61,Arabica,Peru,8,8,8,8.08,10
62,Arabica,Papua New Guinea,8.33,8.42,7.83,8.33,10
63,Arabica,El Salvador,7.92,8.17,8,7.92,10
64,Arabica,El Salvador,7.83,8,8,7.75,10
65,Arabica,United States (Hawaii),7.83,8,7.92,7.75,10
66,Arabica,Panama,8,7.75,7.83,7.83,10
67,Arabica,Kenya,7.92,7.92,7.83,8.08,10
68,Arabica,Ethiopia,7.83,8,7.83,7.92,10
69,Arabica,Uganda,8.33,7.92,7.67,7.92,10
70,Arabica,Guatemala,8,7.83,7.67,8.33,10
71,Arabica,Ethiopia,7.75,7.83,7.83,8.17,10
72,Arabica,Uganda,8.08,8,7.83,7.67,10
73,Arabica,United States (Hawaii),7.92,7.92,7.75,7.92,10
74,Arabica,Brazil,8,8,8,7.67,10
75,Arabica,El Salvador,8.08,7.83,7.83,8.08,10
76,Arabica,China,8,8,8,7.83,10
77,Arabica,Guatemala,7.83,7.75,7.83,7.67,10
78,Arabica,Costa Rica,7.92,8.08,8,7.92,9.33
79,Arabica,Costa Rica,8,7.58,7.58,7.67,10
80,Arabica,Kenya,7.83,8.08,7.75,8.08,10
81,Arabica,Kenya,8,7.92,7.92,8.08,10
82,Arabica,Ethiopia,7.83,7.83,7.92,8.08,10
83,Arabica,Ethiopia,7.92,7.83,7.75,8.33,10
84,Arabica,Guatemala,8,7.92,7.75,8,10
85,Arabica,Colombia,8.17,7.92,7.83,8,10
86,Arabica,Colombia,7.58,8.08,7.92,7.83,10
87,Arabica,Indonesia,7.75,7.83,7.67,8,10
88,Arabica,Guatemala,8.25,8,7.67,7.92,10
89,Arabica,Ethiopia,7.75,8,7.58,8,10
90,Arabica,Colombia,8.17,7.83,7.58,8.08,10
91,Arabica,Ethiopia,8.42,8,7.42,8,10
92,Arabica,United States (Hawaii),7.58,7.83,7.83,7.92,10
93,Arabica,Colombia,7.83,8,7.75,7.75,10
94,Arabica,United States (Hawaii),8.08,8.17,7.92,8,10
95,Arabica,Ethiopia,7.67,8,7.83,8,10
96,Arabica,United States (Hawaii),7.5,7.92,8.25,7.83,10
97,Arabica,Uganda,8.17,7.92,7.75,7.75,10
98,Arabica,Colombia,8,7.92,7.75,7.92,10
99,Arabica,Costa Rica,7.83,8,7.58,7.92,10
100,Arabica,Mexico,7.83,8,7.83,7.75,10
101,Arabica,Kenya,8.17,7.83,7.92,7.75,10
102,Arabica,Kenya,7.75,7.83,7.75,8.08,10
103,Arabica,Brazil,8,8,7.83,7.83,10
104,Arabica,Mexico,7.92,8.17,7.75,8.08,10
105,Arabica,United States (Hawaii),7.75,7.92,7.75,7.75,10
106,Arabica,Guatemala,7.83,8.08,7.67,8,10
107,Arabica,Colombia,7.92,7.92,7.67,7.83,10
108,Arabica,Colombia,7.92,7.83,7.75,7.83,10
109,Arabica,Taiwan,7.67,7.83,8,7.58,10
110,Arabica,"Tanzania, United Republic Of",8,7.83,7.83,7.92,10
111,Arabica,Colombia,7.75,7.92,7.83,7.75,10
112,Arabica,Mexico,7.75,8,7.75,7.83,10
113,Arabica,Brazil,8,7.92,7.75,7.75,10
114,Arabica,Brazil,8,8,7.75,8,10
115,Arabica,Kenya,8,7.67,7.83,8.17,10
116,Arabica,Taiwan,7.83,7.83,7.83,7.83,84.83
117,Arabica,Uganda,7.75,7.92,7.67,7.67,10
118,Arabica,United States (Hawaii),7.67,7.75,7.75,7.75,10
119,Arabica,Ethiopia,7.75,7.92,7.83,7.92,10
120,Arabica,Ethiopia,7.42,7.92,7.92,8,10
121,Arabica,Thailand,7.75,7.75,7.75,7.75,10
122,Arabica,Kenya,7.92,7.83,7.58,7.92,10
123,Arabica,Honduras,7.83,7.75,8,7.67,10
124,Arabica,El Salvador,7.75,8,8,8.33,9.33
125,Arabica,Nicaragua,7.83,7.58,7.58,7.83,10
126,Arabica,El Salvador,7.83,7.83,7.5,8,10
127,Arabica,Indonesia,7.92,7.83,7.75,7.75,10
128,Arabica,Japan,7.75,7.75,7.75,7.42,10
129,Arabica,Costa Rica,8.08,7.75,7.67,7.83,10
130,Arabica,Guatemala,7.75,7.83,7.58,8,10
131,Arabica,Costa Rica,8.17,8,7.83,7.17,10
132,Arabica,Ethiopia,8.08,7.83,7.75,7.83,10
133,Arabica,Costa Rica,7.67,7.58,7.75,7.75,10
134,Arabica,Costa Rica,8,7.58,7.83,7.75,10
135,Arabica,Costa Rica,8.08,7.83,7.75,7.83,9.33
136,Arabica,Taiwan,7.75,7.75,7.75,7.75,84.67
137,Arabica,Colombia,7.75,7.83,7.75,7.83,10
138,Arabica,Kenya,7.75,7.92,7.83,8,10
139,Arabica,Guatemala,8,7.83,7.67,7.83,10
140,Arabica,Guatemala,7.67,7.83,7.67,8,10
141,Arabica,Mexico,7.83,7.58,7.67,7.92,10
142,Arabica,Uganda,7.92,7.83,7.75,7.92,10
143,Arabica,Peru,7.67,7.83,7.75,7.75,10
144,Arabica,Ethiopia,7.42,7.75,7.75,8,10
145,Arabica,Kenya,7.92,7.75,7.83,7.75,10
146,Arabica,Colombia,7.83,7.67,7.58,7.92,10
147,Arabica,Colombia,7.92,7.83,7.58,8,10
148,Arabica,Kenya,7.83,7.83,7.83,7.75,10
149,Arabica,Guatemala,7.75,7.83,7.67,7.92,10
150,Arabica,Guatemala,8,7.92,7.67,7.58,10
151,Arabica,Colombia,7.67,7.67,7.58,7.75,10
152,Arabica,Colombia,7.75,7.75,7.83,7.75,10
153,Arabica,Kenya,7.75,7.75,7.75,8.08,10
154,Arabica,Colombia,7.67,7.83,7.83,8,10
155,Arabica,Costa Rica,7.75,7.83,7.75,8,10
156,Arabica,Colombia,7.42,7.67,7.75,7.75,10
157,Arabica,Brazil,8,8,7.75,7.75,10
158,Arabica,Brazil,8.5,8,7.5,7.75,10
159,Arabica,Costa Rica,7.92,7.67,7.92,7.75,10
160,Arabica,Uganda,7.92,7.75,7.67,7.75,10
161,Arabica,China,7.75,7.92,7.67,7.83,10
162,Arabica,Costa Rica,7.92,7.83,7.83,7.83,10
163,Arabica,Colombia,8.08,7.67,7.83,7.83,10
164,Arabica,China,7.67,8,7.75,7.83,10
165,Arabica,Guatemala,8.17,7.83,7.67,7.83,10
166,Arabica,Kenya,7.92,7.83,7.67,8,10
167,Arabica,Mexico,8,7.92,7.42,8.08,10
168,Arabica,Mexico,7.92,7.83,7.75,7.75,10
169,Arabica,Guatemala,7.67,8,7.67,8,10
170,Arabica,Brazil,7.81,7.81,7.88,7.75,10
171,Arabica,Brazil,8.17,7.67,7.75,7.75,10
172,Arabica,Costa Rica,7.58,7.83,7.83,8,10
173,Arabica,Indonesia,7.67,7.67,7.83,7.58,10
174,Arabica,Colombia,7.92,7.83,7.75,7.67,10
175,Arabica,Colombia,7.92,7.75,7.67,7.92,10
176,Arabica,Taiwan,7.83,7.83,7.75,8,10
177,Arabica,United States (Hawaii),7.92,7.92,7.5,7.83,10
178,Arabica,Mexico,7.75,7.92,7.75,7.67,10
179,Arabica,Ethiopia,7.5,7.75,7.83,7.92,10
180,Arabica,Kenya,7.33,7.58,7.83,7.75,10
181,Arabica,Honduras,7.92,8,7.75,7.67,10
182,Arabica,Colombia,7.58,7.75,7.5,7.83,10
183,Arabica,Honduras,7.58,7.92,7.58,7.75,10
184,Arabica,Colombia,7.67,7.67,7.75,7.83,10
185,Arabica,Colombia,7.75,7.67,8,7.67,10
186,Arabica,Colombia,7.75,7.58,7.33,7.83,10
187,Arabica,Mexico,8,7.75,7.75,7.83,10
188,Arabica,Brazil,8.17,8,7.5,7.75,10
189,Arabica,Brazil,8,8,7.5,7.5,10
190,Arabica,Ethiopia,7.75,7.75,7.92,7.75,10
191,Arabica,Guatemala,7.5,7.67,7.75,7.67,10
192,Arabica,Taiwan,7.92,7.75,7.75,7.67,10
193,Arabica,Thailand,7.83,7.75,7.75,7.42,10
194,Arabica,Colombia,7.83,7.58,7.75,7.58,10
195,Arabica,Guatemala,7.75,7.75,7.58,7.92,10
196,Arabica,Guatemala,7.75,7.92,7.5,8.08,10
197,Arabica,China,7.83,7.83,7.58,7.75,10
198,Arabica,Colombia,7.67,7.67,7.75,7.75,10
199,Arabica,Colombia,7.83,7.67,7.75,7.58,10
200,Arabica,Colombia,7.83,7.75,7.83,7.58,10
201,Arabica,Colombia,7.42,7.67,7.83,7.75,10
202,Arabica,"Tanzania, United Republic Of",7.83,7.67,7.75,7.83,10
203,Arabica,"Tanzania, United Republic Of",7.83,7.75,7.75,7.75,10
204,Arabica,Guatemala,7.83,7.83,7.5,7.92,10
205,Arabica,Colombia,7.58,7.5,7.75,7.83,10
206,Arabica,United States (Hawaii),7.33,7.92,7.92,7.92,9.33
207,Arabica,Mexico,7.83,7.92,7.67,7.83,10
208,Arabica,Mexico,7.83,7.83,7.75,7.67,10
209,Arabica,Mexico,7.83,7.92,7.67,7.75,10
210,Arabica,Uganda,8.17,7.75,7.58,7.67,10
211,Arabica,Guatemala,7.75,7.83,7.58,7.83,10
212,Arabica,Colombia,7.83,7.75,7.58,7.67,10
213,Arabica,Costa Rica,7.92,7.75,7.67,7.67,10
214,Arabica,Guatemala,7.75,7.75,7.58,8,10
215,Arabica,Guatemala,7.75,7.92,7.58,7.92,10
216,Arabica,Guatemala,7.58,7.83,7.58,7.83,10
217,Arabica,Colombia,8,7.5,7.5,7.67,10
218,Arabica,Nicaragua,7.67,7.83,7.83,7.5,10
219,Arabica,Brazil,7.67,7.75,7.75,7.67,10
220,Arabica,Costa Rica,7.67,7.75,7.67,7.75,10
221,Arabica,Ethiopia,7.5,7.92,7.58,7.83,10
222,Arabica,"Tanzania, United Republic Of",7.92,7.75,7.75,7.75,10
223,Arabica,Colombia,7.67,7.5,7.67,7.42,10
224,Arabica,Guatemala,7.67,7.75,7.67,7.75,10
225,Arabica,Kenya,7.58,7.75,7.75,7.75,10
226,Arabica,Brazil,7.58,7.83,7.75,7.67,10
227,Arabica,Guatemala,7.92,7.75,7.67,7.67,10
228,Arabica,El Salvador,8.42,8.08,7.5,7.17,10
229,Arabica,Colombia,7.75,7.75,7.75,7.75,10
230,Arabica,Guatemala,7.83,7.5,7.5,8,10
231,Arabica,Uganda,7.83,7.75,7.5,7.83,10
232,Arabica,Indonesia,7.81,7.88,7.56,7.75,10
233,Arabica,Colombia,7.83,7.5,7.42,7.5,10
234,Arabica,Taiwan,7.58,7.67,7.67,7.67,10
235,Arabica,Guatemala,8,7.75,7.5,7.58,10
236,Arabica,Colombia,7.92,7.75,7.67,7.75,10
237,Arabica,Guatemala,7.58,7.75,7.67,8,10
238,Arabica,United States (Hawaii),7.83,7.75,7.83,7.83,10
239,Arabica,Mexico,7.67,7.75,7.67,7.75,10
240,Arabica,Ethiopia,7.92,7.92,7.83,8,8.67
241,Arabica,Costa Rica,7.58,7.75,7.67,7.75,10
242,Arabica,Ethiopia,7.83,7.75,7.67,7.75,10
243,Arabica,Honduras,7.42,7.83,7.75,7.92,10
244,Arabica,Guatemala,7.67,7.83,7.58,7.92,10
245,Arabica,Colombia,7.67,7.67,7.83,7.58,10
246,Arabica,Guatemala,7.92,7.67,7.42,7.92,10
247,Arabica,Guatemala,7.75,7.83,7.5,7.83,10
248,Arabica,Colombia,7.67,7.75,7.67,7.67,10
249,Arabica,Colombia,7.58,7.42,7.75,7.92,10
250,Arabica,Colombia,7.67,7.67,7.5,7.5,10
251,Arabica,Ethiopia,7.75,7.75,7.5,7.58,10
252,Arabica,Brazil,7.58,7.83,7.67,7.25,10
253,Arabica,Colombia,7.67,7.83,7.67,7.75,10
254,Arabica,Kenya,7.67,7.83,7.5,7.75,10
255,Arabica,Thailand,7.92,8.17,8.17,8.42,9.33
256,Arabica,Kenya,7.67,7.75,7.67,7.75,10
257,Arabica,Uganda,7.92,7.75,7.58,7.67,10
258,Arabica,Thailand,7.58,7.75,7.58,7.75,10
259,Arabica,Brazil,7.5,7.75,7.58,7.5,10
260,Arabica,Mexico,7.83,7.83,7.58,7.92,10
261,Arabica,Thailand,7.67,7.75,7.5,7.67,10
262,Arabica,Brazil,7.58,7.67,7.67,7.75,10
263,Arabica,Taiwan,7.83,7.75,7.83,7.75,10
264,Arabica,Colombia,7.75,7.67,7.5,7.75,10
265,Arabica,Colombia,7.75,7.58,7.5,7.83,10
266,Arabica,Taiwan,7.58,7.75,7.75,7.67,83.92
267,Arabica,Colombia,7.92,7.67,7.5,7.83,10
268,Arabica,Colombia,7.83,7.75,7.58,7.58,10
269,Arabica,Colombia,7.75,7.58,7.67,7.83,10
270,Arabica,Taiwan,7.92,7.92,7.67,7.33,83.92
271,Arabica,Colombia,7.67,7.83,7.67,7.75,10
272,Arabica,Mexico,7.67,7.75,7.58,7.67,10
273,Arabica,Mexico,7.5,7.67,7.58,7.83,10
274,Arabica,Mexico,7.75,7.92,7.83,7.92,10
275,Arabica,Colombia,7.92,7.58,7.5,7.83,10
276,Arabica,Colombia,7.83,7.67,7.5,7.75,10
277,Arabica,Costa Rica,7.67,7.67,7.75,7.67,10
278,Arabica,Guatemala,7.75,7.75,7.5,7.75,10
279,Arabica,Taiwan,7.75,7.67,7.5,7.75,10
280,Arabica,Brazil,7.25,7.58,7.42,8,10
281,Arabica,Taiwan,7.67,7.75,7.67,7.75,10
282,Arabica,Ethiopia,7.75,7.75,7.67,7.67,10
283,Arabica,Brazil,7.67,7.67,7.58,7.5,9.33
284,Arabica,Costa Rica,7.83,7.42,7.5,7.83,10
285,Arabica,Guatemala,7.58,7.83,7.33,8,10
286,Arabica,Brazil,7.92,7.5,7.33,7.67,10
287,Arabica,Ecuador,7.5,7.67,7.58,7.75,10
288,Arabica,Colombia,7.67,7.58,7.58,7.83,10
289,Arabica,Guatemala,7.5,7.83,7.5,7.83,10
290,Arabica,Mexico,7.67,8,7.67,7.42,10
291,Arabica,Mexico,7.67,7.58,7.5,7.75,10
292,Arabica,Brazil,7.83,7.83,7.58,7.67,10
293,Arabica,Thailand,7.75,7.75,7.58,8,10
294,Arabica,Thailand,7.5,7.83,7.58,7.58,10
295,Arabica,Ethiopia,7.58,7.83,7.58,8,10
296,Arabica,Kenya,7.75,7.58,7.5,7.58,10
297,Arabica,Brazil,7.67,7.67,7.58,7.75,10
298,Arabica,Colombia,7.83,7.83,7.58,7.58,10
299,Arabica,Taiwan,7.67,7.67,7.58,7.58,10
300,Arabica,Colombia,7.92,7.75,7.5,7.67,10
301,Arabica,China,7.83,7.75,7.67,7.5,10
302,Arabica,Colombia,7.75,7.67,7.5,7.67,10
303,Arabica,Uganda,8,7.92,7.58,7.75,10
304,Arabica,United States (Puerto Rico),7.83,7.83,7.83,7.67,10
305,Arabica,Colombia,7.67,7.67,7.67,7.92,10
306,Arabica,Colombia,7.67,7.42,7.42,7.42,10
307,Arabica,Colombia,7.58,7.67,7.75,7.67,10
308,Arabica,Colombia,7.75,7.67,7.75,7.58,10
309,Arabica,United States (Hawaii),7.25,7.42,7.67,7.58,10
310,Arabica,Mexico,7.83,7.58,7.58,7.5,10
311,Arabica,Guatemala,7.67,7.58,7.58,7.67,10
312,Arabica,Colombia,7.83,7.83,7.58,7.33,10
313,Arabica,Colombia,7.75,7.67,7.25,7.25,10
314,Arabica,United States (Hawaii),7.83,7.67,7.75,7.67,10
315,Arabica,Brazil,7.67,7.83,7.5,7.67,10
316,Arabica,Kenya,8.08,7.67,7.67,7.58,10
317,Arabica,Honduras,7.5,7.5,7.67,7.67,10
318,Arabica,Nicaragua,7.67,7.75,7.67,7.67,10
319,Arabica,Brazil,7.58,7.75,7.58,7.75,10
320,Arabica,Taiwan,7.5,7.67,7.33,7.92,10
321,Arabica,Costa Rica,7.33,7.67,7.67,7.5,10
322,Arabica,Thailand,7.5,7.75,7.58,7.83,10
323,Arabica,Colombia,7.5,7.75,7.5,7.75,10
324,Arabica,Guatemala,8,7.5,7.33,8,10
325,Arabica,Colombia,7.83,7.75,7.67,7.58,10
326,Arabica,Colombia,7.67,7.67,7.67,7.67,10
327,Arabica,Guatemala,7.67,7.67,7.42,7.67,10
328,Arabica,Guatemala,7.83,7.67,7.33,7.67,10
329,Arabica,Colombia,7.75,7.75,7.58,7.83,10
330,Arabica,Guatemala,8.17,8.17,7.83,7.67,9.33
331,Arabica,Guatemala,7.67,8.17,7.5,7.42,10
332,Arabica,Mexico,7.67,7.5,7.5,7.33,10
333,Arabica,Indonesia,8.17,7.67,7.58,7.58,10
334,Arabica,Guatemala,7.67,7.5,7.33,8,10
335,Arabica,United States (Hawaii),7.75,8,7.92,8.08,9.33
336,Arabica,Brazil,7.58,7.67,7.58,7.58,10
337,Arabica,Guatemala,7.75,7.75,7.5,7.83,10
338,Arabica,Colombia,7.75,7.75,7.58,7.58,10
339,Arabica,China,7.67,7.58,7.58,7.58,10
340,Arabica,Colombia,7.67,7.75,7.58,7.67,10
341,Arabica,Mexico,7.75,7.75,7.58,7.58,10
342,Arabica,Ethiopia,7.75,7.67,7.58,7.67,10
343,Arabica,Uganda,7.67,7.67,7.42,7.75,10
344,Arabica,Colombia,7.67,7.58,7.67,7.67,10
345,Arabica,Colombia,7.67,7.58,7.67,7.58,10
346,Arabica,Colombia,7.75,7.58,7.5,7.58,10
347,Arabica,Taiwan,7.75,7.75,7.5,7.58,83.58
348,Arabica,Colombia,7.67,7.67,7.58,7.67,10
349,Arabica,Mexico,7.83,7.67,7.58,7.58,10
350,Arabica,Colombia,7.67,7.58,7.58,7.58,10
351,Arabica,Brazil,7.83,7.75,7.5,7.75,10
352,Arabica,Colombia,7.75,7.58,7.58,7.75,10
353,Arabica,Taiwan,7.58,7.17,7.17,7,10
354,Arabica,Costa Rica,7.92,7.42,7.5,7.67,10
355,Arabica,Colombia,7.75,7.58,7.58,7.5,10
356,Arabica,Guatemala,7.67,7.75,7.5,7.83,10
357,Arabica,Colombia,7.58,7.58,7.58,7.58,10
358,Arabica,"Tanzania, United Republic Of",7.75,7.67,7.58,7.67,10
359,Arabica,Indonesia,7.25,7.67,7.58,7.92,10
360,Arabica,Ethiopia,7.67,7.75,7.5,7.58,10
361,Arabica,Colombia,7.67,7.42,7.67,7.83,10
362,Arabica,Colombia,8,7.58,7.25,7.58,10
363,Arabica,Guatemala,7.58,7.75,7.5,7.83,10
364,Arabica,Colombia,7.75,7.58,7.33,7.5,10
365,Arabica,Honduras,7.67,7.5,7.67,7.5,10
366,Arabica,Colombia,7.58,7.75,7.42,7.67,10
367,Arabica,Colombia,7.58,7.67,7.58,7.75,10
368,Arabica,Mexico,7.83,7.58,7.25,7.5,10
369,Arabica,Mexico,7.67,7.75,7.67,7.75,10
370,Arabica,Mexico,7.75,7.67,7.67,7.75,10
371,Arabica,Guatemala,7.83,7.5,7.5,8,10
372,Arabica,Colombia,7.67,7.58,7.58,7.67,10
373,Arabica,Guatemala,7.5,7.5,7.75,7.5,10
374,Arabica,United States (Hawaii),7.5,7.67,7.58,7.92,10
375,Arabica,Indonesia,7.83,7.58,7.58,7.58,10
376,Arabica,Colombia,7.5,7.58,7.58,7.5,10
377,Arabica,Guatemala,7.67,7.75,7.5,7.58,10
378,Arabica,Colombia,7.67,7.67,7.5,7.67,10
379,Arabica,Costa Rica,7.58,7.5,7.42,7.92,10
380,Arabica,Taiwan,7,7.08,7,7,83.42
381,Arabica,Uganda,7.58,7.75,7.33,7.75,10
382,Arabica,Thailand,7.5,7.58,7.75,7.5,10
383,Arabica,El Salvador,7.58,7.5,7.75,7.58,10
384,Arabica,Colombia,7.58,7.67,7.58,7.67,10
385,Arabica,Brazil,7.33,7.83,7.75,7.5,10
386,Arabica,"Tanzania, United Republic Of",7.75,7.67,7.58,7.67,10
387,Arabica,Colombia,7.58,7.58,7.25,7.75,10
388,Arabica,Guatemala,7.75,7.83,7.33,7.83,10
389,Arabica,Guatemala,7.67,7.75,7.5,7.83,10
390,Arabica,Guatemala,7.67,7.5,7.75,7.42,10
391,Arabica,United States (Hawaii),7.42,7.75,7.67,7.58,10
392,Arabica,Colombia,7.5,7.75,7.58,7.5,10
393,Arabica,Colombia,7.58,7.58,7.58,7.67,10
394,Arabica,United States (Hawaii),7.5,7.92,7.42,7.67,10
395,Arabica,Thailand,7.58,7.25,7.5,7.92,10
396,Arabica,Mexico,7.25,7.88,7.38,7.63,10
397,Arabica,Colombia,7.75,7.5,7.75,7.58,10
398,Arabica,Colombia,7.67,7.58,7.58,7.42,10
399,Arabica,Colombia,7.83,7.58,7.58,7.58,10
400,Arabica,Brazil,7.5,7.83,7.33,7.58,10
401,Arabica,Mexico,7.75,7.75,7.5,7.67,10
402,Arabica,Colombia,7.67,7.75,7.42,7.83,10
403,Arabica,"Tanzania, United Republic Of",7.75,7.58,7.67,7.58,10
404,Arabica,Mexico,7.67,7.67,7.58,7.67,10
405,Arabica,Costa Rica,7.67,7.67,7.42,7.67,10
406,Arabica,United States (Hawaii),7.83,7.58,7.83,7.67,9.33
407,Arabica,Costa Rica,7.5,7.67,7.67,7.5,10
408,Arabica,Peru,7.83,7.75,7.58,7.83,10
409,Arabica,Haiti,7.58,7.5,7.67,7.5,10
410,Arabica,Colombia,7.67,7.67,7.5,7.67,10
411,Arabica,Guatemala,7.83,7.67,7.17,7.67,10
412,Arabica,United States (Hawaii),7.92,7.5,7.58,7.83,10
413,Arabica,Burundi,7.75,7.67,7.33,7.5,10
414,Arabica,Colombia,7.5,7.67,7.67,7.58,10
415,Arabica,United States (Hawaii),8.08,7.83,7.83,7.75,9.33
416,Arabica,United States (Hawaii),7.58,7.67,7.58,7.5,10
417,Arabica,Mexico,7.67,7.83,7.42,7.83,10
418,Arabica,Costa Rica,7.5,7.5,7.83,7.5,10
419,Arabica,Costa Rica,7.83,7.5,7.42,7.67,10
420,Arabica,Guatemala,7.5,7.58,7.42,7.83,10
421,Arabica,Uganda,7.5,7.67,7.67,7.42,10
422,Arabica,Brazil,7.58,7.67,7.42,7.5,10
423,Arabica,Colombia,7.58,7.67,7.67,7.17,10
424,Arabica,Mexico,7.83,7.75,7.5,7.58,10
425,Arabica,Taiwan,7.5,7.5,7.67,7.83,83.25
426,Arabica,Taiwan,7.83,7.75,7.58,7.5,7.33
427,Arabica,Colombia,7.58,7.58,7.5,7.58,10
428,Arabica,Guatemala,7.5,7.67,7.58,7.67,10
429,Arabica,Colombia,7.83,7.5,7.67,7.33,10
430,Arabica,Mexico,7.58,7.75,7.5,7.5,10
431,Arabica,United States (Hawaii),7.58,7.75,7.83,8,9.33
432,Arabica,Mexico,7.75,7.58,7.58,7.58,10
433,Arabica,Mexico,7.75,7.75,7.42,7.92,10
434,Arabica,Guatemala,7.83,7.58,7.08,7.83,10
435,Arabica,Brazil,7.75,7.67,7.5,7.58,10
436,Arabica,Colombia,7.67,7.58,7.58,7.42,10
437,Arabica,Colombia,7.67,7.67,7.5,7.5,10
438,Arabica,Colombia,7.92,7.75,7.25,7.42,10
439,Arabica,Colombia,8,7.67,7.67,7.25,10
440,Arabica,Colombia,7.92,7.75,7.5,7.42,10
441,Arabica,Brazil,7.67,7.42,7.5,7.58,10
442,Arabica,Guatemala,7.58,7.58,7.33,7.67,10
443,Arabica,"Tanzania, United Republic Of",7.67,7.58,7.42,7.67,10
444,Arabica,Peru,7.92,7.5,7.5,7.58,10
445,Arabica,Vietnam,7.58,7.42,7.08,7.33,10
446,Arabica,Guatemala,7.67,7.75,7.42,7.75,10
447,Arabica,Honduras,7.67,7.67,7.5,7.67,10
448,Arabica,China,7.5,7.67,7.33,7.67,10
449,Arabica,China,7.67,7.67,7.5,7.67,10
450,Arabica,El Salvador,7.5,7.5,7.33,7.67,10
451,Arabica,Guatemala,7.5,7.75,7.5,7.83,10
452,Arabica,Guatemala,7.92,7.67,7.42,7.75,10
453,Arabica,Kenya,7.83,7.75,7.67,7.75,9.33
454,Arabica,Thailand,7.67,7.58,7.58,7.75,10
455,Arabica,"Tanzania, United Republic Of",7.58,7.67,7.67,7.58,10
456,Arabica,Colombia,7.58,7.5,7.5,7.67,10
457,Arabica,Uganda,8,7.67,7.5,7.42,10
458,Arabica,Colombia,7.58,7.75,7.5,7.58,10
